449300.23,3674941.513,68.872
449300.971,3674942.003,68.829
449301.814,3674942.582,68.862
449302.614,3674943.133,68.868
449303.491,3674943.624,68.847
449304.35,3674944.124,68.825
449305.172,3674944.676,68.806
449305.99,3674945.274,68.825
449306.799,3674945.824,68.778
449307.653,3674946.37,68.782
449308.455,3674946.935,68.787
449309.262,3674947.499,68.756
449310.103,3674948.048,68.717
449310.931,3674948.641,68.651
449311.783,3674949.164,68.597
449312.573,3674949.773,68.595
449313.426,3674950.317,68.614
449314.237,3674950.895,68.588
449315.054,3674951.464,68.562
449315.891,3674952.058,68.551
449316.727,3674952.597,68.529
449317.504,3674953.204,68.461
